# McoresScanner - OVERWORLD
# Chunks scanned: 89000
# Total blocks: 8726272000
# Format: block_id,count,percentage

minecraft:deepslate_tiles,5686,0.000065%
minecraft:ladder,5353,0.000061%
minecraft:large_amethyst_bud,5321,0.000061%
minecraft:medium_amethyst_bud,5275,0.000060%
minecraft:amethyst_cluster,5167,0.000059%
minecraft:small_amethyst_bud,5156,0.000059%
minecraft:emerald_ore,4994,0.000057%
minecraft:cut_sandstone,4954,0.000057%
minecraft:wall_torch,4852,0.000056%
minecraft:cobbled_deepslate,4649,0.000053%
minecraft:cocoa,4473,0.000051%
minecraft:dark_prismarine,4456,0.000051%
minecraft:bone_block,4398,0.000050%
minecraft:cherry_leaves,4028,0.000046%
minecraft:chest,4005,0.000046%
minecraft:waxed_cut_copper,3904,0.000045%
minecraft:cracked_deepslate_bricks,3775,0.000043%
minecraft:jungle_planks,3503,0.000040%
minecraft:sea_pickle,3428,0.000039%
minecraft:short_dry_grass,3371,0.000039%
minecraft:tall_dry_grass,3344,0.000038%
minecraft:sugar_cane,3312,0.000038%
minecraft:sunflower,3300,0.000038%
minecraft:decorated_pot,3269,0.000037%
minecraft:spruce_stairs,3237,0.000037%
minecraft:waxed_oxidized_copper_trapdoor,3152,0.000036%
minecraft:peony,2918,0.000033%
minecraft:orange_tulip,2884,0.000033%
minecraft:azure_bluet,2877,0.000033%
minecraft:spawner,2812,0.000032%
minecraft:dark_oak_stairs,2733,0.000031%
minecraft:dark_oak_fence,2717,0.000031%
minecraft:rose_bush,2698,0.000031%
minecraft:red_tulip,2691,0.000031%
minecraft:light_gray_stained_glass,2647,0.000030%
minecraft:cracked_deepslate_tiles,2481,0.000028%
minecraft:deepslate_tile_stairs,2437,0.000028%
minecraft:lilac,2391,0.000027%
minecraft:spore_blossom,2374,0.000027%
minecraft:sculk_sensor,2329,0.000027%
minecraft:oxeye_daisy,2275,0.000026%
minecraft:white_tulip,2174,0.000025%
minecraft:waxed_oxidized_copper_bulb,2016,0.000023%
minecraft:jungle_stairs,1970,0.000023%
minecraft:infested_stone_bricks,1942,0.000022%
minecraft:polished_deepslate,1847,0.000021%
minecraft:vault,1782,0.000020%
minecraft:sea_lantern,1779,0.000020%
minecraft:poppy,1744,0.000020%
minecraft:oak_button,1743,0.000020%
minecraft:dispenser,1715,0.000020%
minecraft:pink_petals,1669,0.000019%
minecraft:melon,1610,0.000018%
minecraft:brown_mushroom_block,1572,0.000018%
minecraft:lily_of_the_valley,1557,0.000018%
minecraft:cornflower,1538,0.000018%
minecraft:birch_planks,1506,0.000017%
minecraft:farmland,1409,0.000016%
minecraft:mud_bricks,1407,0.000016%
minecraft:pink_tulip,1369,0.000016%
minecraft:red_mushroom,1367,0.000016%
minecraft:chiseled_deepslate,1352,0.000015%
minecraft:suspicious_gravel,1323,0.000015%
minecraft:trial_spawner,1288,0.000015%
minecraft:barrel,1282,0.000015%
minecraft:oxidized_cut_copper,1223,0.000014%
minecraft:azalea_leaves,1153,0.000013%
minecraft:firefly_bush,1077,0.000012%
minecraft:pumpkin,1067,0.000012%
minecraft:bubble_coral,1020,0.000012%
minecraft:candle,1020,0.000012%
minecraft:horn_coral_fan,1012,0.000012%
minecraft:fire_coral,1008,0.000012%
minecraft:brain_coral_fan,1005,0.000012%
minecraft:acacia_stairs,1003,0.000011%
minecraft:spruce_fence,1001,0.000011%
minecraft:polished_tuff_slab,972,0.000011%
minecraft:tube_coral,972,0.000011%
minecraft:red_candle,972,0.000011%
minecraft:mushroom_stem,971,0.000011%
minecraft:red_glazed_terracotta,971,0.000011%
minecraft:bubble_coral_fan,958,0.000011%
minecraft:fire_coral_fan,957,0.000011%
minecraft:waxed_oxidized_copper_door,954,0.000011%
minecraft:brain_coral,952,0.000011%
minecraft:horn_coral,952,0.000011%
minecraft:wheat,949,0.000011%
minecraft:tube_coral_fan,938,0.000011%
minecraft:acacia_planks,931,0.000011%
minecraft:chiseled_stone_bricks,904,0.000010%
minecraft:bookshelf,788,0.000009%
minecraft:hopper,767,0.000009%
minecraft:iron_bars,731,0.000008%
minecraft:deepslate_tile_slab,726,0.000008%
minecraft:waxed_cut_copper_stairs,722,0.000008%
minecraft:bubble_column,690,0.000008%
minecraft:lily_pad,682,0.000008%
minecraft:spruce_slab,680,0.000008%
minecraft:obsidian,675,0.000008%
minecraft:chiseled_sandstone,670,0.000008%
minecraft:polished_granite,648,0.000007%
minecraft:bricks,639,0.000007%
minecraft:cobblestone_stairs,610,0.000007%
minecraft:sculk_catalyst,596,0.000007%
minecraft:suspicious_sand,596,0.000007%
minecraft:allium,583,0.000007%
minecraft:glass_pane,581,0.000007%
minecraft:wet_sponge,553,0.000006%
minecraft:cactus,551,0.000006%
minecraft:stripped_spruce_log,548,0.000006%
minecraft:smooth_sandstone_slab,541,0.000006%
minecraft:flower_pot,527,0.000006%
minecraft:hay_block,520,0.000006%
minecraft:copper_block,480,0.000006%
minecraft:potted_dead_bush,473,0.000005%
minecraft:deepslate_brick_stairs,466,0.000005%
minecraft:stripped_spruce_wood,449,0.000005%
minecraft:white_stained_glass,436,0.000005%
minecraft:stone_brick_stairs,432,0.000005%
minecraft:stripped_oak_log,431,0.000005%
minecraft:flowering_azalea_leaves,399,0.000005%
minecraft:acacia_fence,389,0.000004%
minecraft:smooth_stone_slab,387,0.000004%
minecraft:red_concrete,368,0.000004%
minecraft:gray_carpet,362,0.000004%
minecraft:sweet_berry_bush,358,0.000004%
minecraft:oak_door,356,0.000004%
minecraft:oak_slab,336,0.000004%
minecraft:acacia_wood,317,0.000004%
minecraft:waxed_oxidized_cut_copper_slab,317,0.000004%
minecraft:polished_basalt,313,0.000004%
minecraft:acacia_slab,309,0.000004%
minecraft:oak_trapdoor,297,0.000003%
minecraft:smooth_sandstone_stairs,279,0.000003%
minecraft:mangrove_leaves,276,0.000003%
minecraft:jungle_fence,273,0.000003%
minecraft:cherry_log,267,0.000003%
minecraft:black_stained_glass,264,0.000003%
minecraft:sculk_shrieker,264,0.000003%
minecraft:dark_oak_slab,246,0.000003%
minecraft:mossy_stone_brick_slab,239,0.000003%
minecraft:spruce_trapdoor,234,0.000003%
minecraft:torch,220,0.000003%
minecraft:sandstone_slab,212,0.000002%
minecraft:packed_mud,209,0.000002%
minecraft:dark_oak_trapdoor,204,0.000002%
minecraft:deepslate_brick_slab,201,0.000002%
minecraft:blue_terracotta,191,0.000002%
minecraft:bee_nest,186,0.000002%
minecraft:cyan_terracotta,184,0.000002%
minecraft:deepslate_tile_wall,183,0.000002%
minecraft:red_sandstone,171,0.000002%
minecraft:stone_button,170,0.000002%
minecraft:white_concrete,160,0.000002%
minecraft:jungle_trapdoor,159,0.000002%
minecraft:gold_block,158,0.000002%
minecraft:sandstone_stairs,158,0.000002%
minecraft:melon_stem,153,0.000002%
minecraft:stone_brick_slab,151,0.000002%
minecraft:tripwire,149,0.000002%
minecraft:polished_deepslate_wall,146,0.000002%
minecraft:soul_lantern,146,0.000002%
minecraft:iron_door,138,0.000002%
minecraft:carrots,137,0.000002%
minecraft:white_bed,134,0.000002%
minecraft:deepslate_emerald_ore,131,0.000002%
minecraft:birch_fence,131,0.000002%
minecraft:white_candle,127,0.000001%
minecraft:jungle_slab,126,0.000001%
minecraft:smooth_stone,126,0.000001%
minecraft:purple_bed,124,0.000001%
minecraft:potatoes,121,0.000001%
minecraft:cobblestone_wall,121,0.000001%
minecraft:sandstone_wall,120,0.000001%
minecraft:birch_stairs,119,0.000001%
minecraft:mossy_stone_brick_stairs,114,0.000001%
minecraft:redstone_wire,106,0.000001%
minecraft:yellow_bed,104,0.000001%
minecraft:lime_bed,96,0.000001%
minecraft:hanging_roots,95,0.000001%
minecraft:cactus_flower,95,0.000001%
minecraft:birch_slab,90,0.000001%
minecraft:waxed_copper_door,90,0.000001%
minecraft:oak_pressure_plate,86,0.000001%
minecraft:white_wool,82,0.000001%
minecraft:mud_brick_stairs,82,0.000001%
minecraft:crying_obsidian,82,0.000001%
minecraft:light_blue_wool,80,0.000001%
minecraft:spruce_door,80,0.000001%
minecraft:waxed_oxidized_chiseled_copper,78,0.000001%
minecraft:light_blue_carpet,72,0.000001%
minecraft:polished_deepslate_stairs,72,0.000001%
minecraft:light_blue_terracotta,69,0.000001%
minecraft:mud_brick_slab,68,0.000001%
minecraft:tripwire_hook,68,0.000001%
minecraft:soul_fire,65,0.000001%
minecraft:soul_sand,65,0.000001%
minecraft:blue_bed,64,0.000001%
minecraft:green_bed,62,0.000001%
minecraft:brick_stairs,61,0.000001%
minecraft:jungle_button,59,0.000001%
minecraft:light_gray_glazed_terracotta,58,0.000001%
minecraft:jungle_door,58,0.000001%
minecraft:yellow_glazed_terracotta,56,0.000001%
minecraft:reinforced_deepslate,56,0.000001%
minecraft:acacia_door,56,0.000001%
minecraft:cyan_carpet,50,0.000001%
minecraft:black_bed,50,0.000001%
minecraft:cyan_bed,46,0.000001%
minecraft:red_bed,46,0.000001%
minecraft:yellow_wool,45,0.000001%
minecraft:beetroots,43,0.000000%
minecraft:lantern,42,0.000000%
minecraft:gray_terracotta,42,0.000000%
minecraft:polished_andesite,40,0.000000%
minecraft:yellow_stained_glass_pane,40,0.000000%
minecraft:stripped_oak_wood,40,0.000000%
minecraft:cobbled_deepslate_stairs,40,0.000000%
minecraft:brown_wall_banner,39,0.000000%
minecraft:crafting_table,38,0.000000%
minecraft:white_stained_glass_pane,38,0.000000%
minecraft:orange_glazed_terracotta,37,0.000000%
minecraft:magenta_bed,36,0.000000%
minecraft:mangrove_log,36,0.000000%
minecraft:orange_bed,36,0.000000%
minecraft:stone_slab,36,0.000000%
minecraft:mangrove_roots,35,0.000000%
minecraft:blue_orchid,35,0.000000%
minecraft:potted_cactus,35,0.000000%
minecraft:brown_bed,34,0.000000%
minecraft:mud,31,0.000000%
minecraft:light_gray_wool,30,0.000000%
minecraft:blue_carpet,30,0.000000%
minecraft:composter,29,0.000000%
minecraft:end_portal_frame,24,0.000000%
minecraft:cobbled_deepslate_wall,24,0.000000%
minecraft:white_wall_banner,24,0.000000%
minecraft:furnace,23,0.000000%
minecraft:water_cauldron,23,0.000000%
minecraft:mangrove_wood,23,0.000000%
minecraft:polished_diorite,23,0.000000%
minecraft:redstone_lamp,23,0.000000%
minecraft:gray_bed,22,0.000000%
minecraft:light_gray_bed,22,0.000000%
minecraft:light_blue_bed,22,0.000000%
minecraft:black_glazed_terracotta,22,0.000000%
minecraft:oxidized_copper_trapdoor,20,0.000000%
minecraft:mud_brick_wall,20,0.000000%
minecraft:bell,19,0.000000%
minecraft:brick_slab,19,0.000000%
minecraft:cobblestone_slab,17,0.000000%
minecraft:sticky_piston,17,0.000000%
minecraft:diorite_wall,15,0.000000%
minecraft:light_blue_glazed_terracotta,15,0.000000%
minecraft:green_carpet,14,0.000000%
minecraft:lever,14,0.000000%
minecraft:dark_oak_door,14,0.000000%
minecraft:oak_fence_gate,14,0.000000%
minecraft:carved_pumpkin,12,0.000000%
minecraft:repeater,12,0.000000%
minecraft:muddy_mangrove_roots,12,0.000000%
minecraft:blast_furnace,12,0.000000%
minecraft:pink_bed,10,0.000000%
minecraft:brewing_stand,9,0.000000%
minecraft:acacia_pressure_plate,9,0.000000%
minecraft:yellow_carpet,9,0.000000%
minecraft:deepslate_brick_wall,9,0.000000%
minecraft:comparator,9,0.000000%
minecraft:brick_wall,9,0.000000%
minecraft:white_glazed_terracotta,8,0.000000%
minecraft:grindstone,7,0.000000%
minecraft:mossy_cobblestone_stairs,7,0.000000%
minecraft:loom,6,0.000000%
minecraft:cartography_table,6,0.000000%
minecraft:diorite_stairs,5,0.000000%
minecraft:skeleton_skull,5,0.000000%
minecraft:smithing_table,5,0.000000%
minecraft:stonecutter,5,0.000000%
minecraft:glass,4,0.000000%
minecraft:piston_head,4,0.000000%
minecraft:cyan_glazed_terracotta,4,0.000000%
minecraft:purple_glazed_terracotta,4,0.000000%
minecraft:fletching_table,4,0.000000%
minecraft:diorite_slab,4,0.000000%
minecraft:smoker,4,0.000000%
minecraft:redstone_wall_torch,4,0.000000%
minecraft:coal_block,4,0.000000%
minecraft:polished_deepslate_slab,3,0.000000%
minecraft:acacia_fence_gate,3,0.000000%
minecraft:white_carpet,3,0.000000%
minecraft:purple_carpet,3,0.000000%
minecraft:potted_dandelion,3,0.000000%
minecraft:stone_pressure_plate,3,0.000000%
minecraft:campfire,3,0.000000%
minecraft:mossy_stone_brick_wall,3,0.000000%
minecraft:brown_stained_glass,2,0.000000%
minecraft:redstone_block,2,0.000000%
minecraft:spruce_pressure_plate,2,0.000000%
minecraft:lectern,2,0.000000%
minecraft:note_block,2,0.000000%
minecraft:mossy_cobblestone_wall,1,0.000000%
minecraft:iron_trapdoor,1,0.000000%
minecraft:cauldron,1,0.000000%
minecraft:stone_brick_wall,1,0.000000%
minecraft:mossy_cobblestone_slab,1,0.000000%
minecraft:target,1,0.000000%
