# McoresScanner - OVERWORLD
# Chunks scanned: 87500
# Total blocks: 1805651968
# Format: block_id,count,percentage

minecraft:spawner,567,0.000031%
minecraft:sea_pickle,566,0.000031%
minecraft:azalea_leaves,558,0.000031%
minecraft:lilac,540,0.000030%
minecraft:bone_block,530,0.000029%
minecraft:peony,516,0.000029%
minecraft:cornflower,514,0.000028%
minecraft:sugar_cane,514,0.000028%
minecraft:stone_bricks,499,0.000028%
minecraft:pink_petals,487,0.000027%
minecraft:sculk_sensor,449,0.000025%
minecraft:mud_bricks,432,0.000024%
minecraft:waxed_oxidized_copper_bulb,425,0.000024%
minecraft:cracked_stone_bricks,400,0.000022%
minecraft:oak_button,395,0.000022%
minecraft:spruce_stairs,390,0.000022%
minecraft:dispenser,386,0.000021%
minecraft:dead_bush,357,0.000020%
minecraft:vault,354,0.000020%
minecraft:oxidized_cut_copper,354,0.000020%
minecraft:sweet_berry_bush,353,0.000020%
minecraft:barrel,300,0.000017%
minecraft:trial_spawner,298,0.000017%
minecraft:tall_dry_grass,298,0.000017%
minecraft:orange_tulip,297,0.000016%
minecraft:birch_planks,290,0.000016%
minecraft:packed_ice,288,0.000016%
minecraft:short_dry_grass,286,0.000016%
minecraft:suspicious_sand,280,0.000016%
minecraft:poppy,279,0.000015%
minecraft:lily_of_the_valley,273,0.000015%
minecraft:pumpkin,271,0.000015%
minecraft:suspicious_gravel,265,0.000015%
minecraft:dark_oak_log,264,0.000015%
minecraft:spruce_fence,263,0.000015%
minecraft:fire_coral,240,0.000013%
minecraft:sea_lantern,237,0.000013%
minecraft:chiseled_stone_bricks,233,0.000013%
minecraft:horn_coral_fan,229,0.000013%
minecraft:bubble_coral_fan,224,0.000012%
minecraft:light_gray_stained_glass,222,0.000012%
minecraft:brain_coral,216,0.000012%
minecraft:red_candle,215,0.000012%
minecraft:polished_tuff_slab,214,0.000012%
minecraft:red_glazed_terracotta,214,0.000012%
minecraft:waxed_oxidized_copper_door,212,0.000012%
minecraft:white_tulip,208,0.000012%
minecraft:red_tulip,206,0.000011%
minecraft:tube_coral,205,0.000011%
minecraft:bubble_coral,205,0.000011%
minecraft:brain_coral_fan,203,0.000011%
minecraft:red_mushroom,202,0.000011%
minecraft:tube_coral_fan,201,0.000011%
minecraft:fire_coral_fan,198,0.000011%
minecraft:horn_coral,197,0.000011%
minecraft:candle,196,0.000011%
minecraft:polished_granite,196,0.000011%
minecraft:flowering_azalea_leaves,192,0.000011%
minecraft:bricks,185,0.000010%
minecraft:hopper,184,0.000010%
minecraft:chiseled_sandstone,175,0.000010%
minecraft:dark_oak_fence,155,0.000009%
minecraft:firefly_bush,150,0.000008%
minecraft:gray_wool,146,0.000008%
minecraft:obsidian,130,0.000007%
minecraft:stone_brick_stairs,118,0.000007%
minecraft:sculk_catalyst,117,0.000006%
minecraft:blue_terracotta,117,0.000006%
minecraft:waxed_cut_copper_stairs,112,0.000006%
minecraft:flower_pot,104,0.000006%
minecraft:spruce_slab,101,0.000006%
minecraft:dark_oak_trapdoor,96,0.000005%
minecraft:dark_oak_slab,91,0.000005%
minecraft:potted_dead_bush,88,0.000005%
minecraft:deepslate_bricks,85,0.000005%
minecraft:cherry_log,81,0.000004%
minecraft:sandstone_stairs,81,0.000004%
minecraft:red_concrete,80,0.000004%
minecraft:acacia_log,80,0.000004%
minecraft:red_terracotta,76,0.000004%
minecraft:cactus,73,0.000004%
minecraft:mossy_stone_brick_slab,68,0.000004%
minecraft:spruce_trapdoor,66,0.000004%
minecraft:pink_tulip,65,0.000004%
minecraft:bubble_column,63,0.000003%
minecraft:allium,61,0.000003%
minecraft:copper_block,60,0.000003%
minecraft:white_terracotta,58,0.000003%
minecraft:waxed_oxidized_cut_copper_slab,58,0.000003%
minecraft:sculk_shrieker,56,0.000003%
minecraft:packed_mud,54,0.000003%
minecraft:jungle_planks,54,0.000003%
minecraft:white_stained_glass,52,0.000003%
minecraft:hanging_roots,50,0.000003%
minecraft:cobblestone_wall,48,0.000003%
minecraft:cracked_deepslate_bricks,47,0.000003%
minecraft:oak_slab,45,0.000002%
minecraft:cobblestone_stairs,42,0.000002%
minecraft:deepslate_tiles,41,0.000002%
minecraft:white_concrete,40,0.000002%
minecraft:bee_nest,39,0.000002%
minecraft:stone_button,38,0.000002%
minecraft:oak_trapdoor,38,0.000002%
minecraft:light_blue_terracotta,38,0.000002%
minecraft:black_stained_glass,36,0.000002%
minecraft:cocoa,33,0.000002%
minecraft:torch,31,0.000002%
minecraft:tripwire,30,0.000002%
minecraft:wet_sponge,29,0.000002%
minecraft:yellow_glazed_terracotta,28,0.000002%
minecraft:melon,28,0.000002%
minecraft:purple_bed,28,0.000002%
minecraft:gold_block,27,0.000001%
minecraft:cyan_terracotta,25,0.000001%
minecraft:deepslate_emerald_ore,24,0.000001%
minecraft:spruce_door,24,0.000001%
minecraft:mossy_stone_brick_stairs,22,0.000001%
minecraft:green_bed,22,0.000001%
minecraft:glass_pane,22,0.000001%
minecraft:iron_bars,22,0.000001%
minecraft:brick_stairs,21,0.000001%
minecraft:jungle_stairs,20,0.000001%
minecraft:light_gray_glazed_terracotta,20,0.000001%
minecraft:waxed_copper_door,20,0.000001%
minecraft:chiseled_deepslate,18,0.000001%
minecraft:cracked_deepslate_tiles,16,0.000001%
minecraft:crying_obsidian,16,0.000001%
minecraft:polished_diorite,15,0.000001%
minecraft:waxed_oxidized_chiseled_copper,15,0.000001%
minecraft:oak_pressure_plate,15,0.000001%
minecraft:white_bed,14,0.000001%
minecraft:blue_bed,12,0.000001%
minecraft:black_bed,12,0.000001%
minecraft:tripwire_hook,12,0.000001%
minecraft:cactus_flower,12,0.000001%
