# McoresScanner - OVERWORLD
# Chunks scanned: 52000
# Total blocks: 5098496000
# Format: block_id,count,percentage

minecraft:air,3430007213,67.274883%
minecraft:deepslate,689103138,13.515812%
minecraft:stone,474687939,9.310352%
minecraft:water,142280594,2.790639%
minecraft:tuff,57295048,1.123764%
minecraft:andesite,50096264,0.982569%
minecraft:diorite,47769230,0.936928%
minecraft:granite,45858948,0.899460%
minecraft:bedrock,39945679,0.783480%
minecraft:dirt,29384858,0.576344%
minecraft:gravel,25383317,0.497859%
minecraft:sand,7175728,0.140742%
minecraft:sandstone,4973123,0.097541%
minecraft:grass_block,4813153,0.094403%
minecraft:clay,4683220,0.091855%
minecraft:coal_ore,3994658,0.078350%
minecraft:copper_ore,3921493,0.076915%
minecraft:oak_leaves,3001922,0.058879%
minecraft:iron_ore,2561822,0.050247%
minecraft:cave_air,2498534,0.049005%
minecraft:tuff_bricks,2157128,0.042309%
minecraft:lava,2132329,0.041823%
minecraft:deepslate_redstone_ore,1703266,0.033407%
minecraft:kelp_plant,1583471,0.031058%
minecraft:deepslate_iron_ore,1478171,0.028992%
minecraft:deepslate_diamond_ore,1234045,0.024204%
minecraft:smooth_basalt,1220256,0.023934%
minecraft:tall_seagrass,1147846,0.022513%
minecraft:deepslate_gold_ore,1109570,0.021763%
minecraft:jungle_leaves,1008069,0.019772%
minecraft:calcite,990748,0.019432%
minecraft:vine,932583,0.018291%
minecraft:moss_block,824101,0.016164%
minecraft:amethyst_block,773798,0.015177%
minecraft:deepslate_lapis_ore,709157,0.013909%
minecraft:short_grass,700076,0.013731%
minecraft:leaf_litter,686214,0.013459%
minecraft:seagrass,660120,0.012947%
minecraft:dripstone_block,625915,0.012276%
minecraft:birch_leaves,553404,0.010854%
minecraft:lapis_ore,507687,0.009958%
minecraft:terracotta,411387,0.008069%
minecraft:deepslate_copper_ore,379251,0.007438%
minecraft:kelp,296152,0.005809%
minecraft:orange_terracotta,288330,0.005655%
minecraft:oak_planks,246074,0.004826%
minecraft:polished_tuff,244804,0.004801%
minecraft:jungle_log,238425,0.004676%
minecraft:oak_log,225474,0.004422%
minecraft:waxed_copper_block,214618,0.004209%
minecraft:gold_ore,208843,0.004096%
minecraft:waxed_oxidized_copper,171611,0.003366%
minecraft:sculk,169282,0.003320%
minecraft:red_terracotta,156854,0.003076%
minecraft:glow_lichen,149038,0.002923%
minecraft:oak_fence,145262,0.002849%
minecraft:pointed_dripstone,141965,0.002784%
minecraft:redstone_ore,140375,0.002753%
minecraft:chiseled_tuff_bricks,132869,0.002606%
minecraft:cobblestone,132252,0.002594%
minecraft:dark_oak_leaves,125083,0.002453%
minecraft:cave_vines_plant,105690,0.002073%
minecraft:acacia_leaves,102709,0.002014%
minecraft:light_gray_terracotta,89101,0.001748%
minecraft:tall_grass,81700,0.001602%
minecraft:white_terracotta,78258,0.001535%
minecraft:budding_amethyst,70020,0.001373%
minecraft:birch_log,66005,0.001295%
minecraft:magma_block,65235,0.001279%
minecraft:prismarine,60565,0.001188%
minecraft:prismarine_bricks,60102,0.001179%
minecraft:cave_vines,59652,0.001170%
minecraft:mossy_cobblestone,57419,0.001126%
minecraft:sculk_vein,56507,0.001108%
minecraft:fern,55652,0.001092%
minecraft:rail,55004,0.001079%
minecraft:moss_carpet,52360,0.001027%
minecraft:waxed_oxidized_cut_copper,49671,0.000974%
minecraft:cobweb,48743,0.000956%
minecraft:dark_oak_log,46290,0.000908%
minecraft:deepslate_coal_ore,41044,0.000805%
minecraft:bamboo,38348,0.000752%
minecraft:coarse_dirt,36619,0.000718%
minecraft:infested_deepslate,34801,0.000683%
minecraft:infested_stone,31463,0.000617%
minecraft:waxed_copper_grate,31257,0.000613%
minecraft:red_sand,30023,0.000589%
minecraft:spruce_leaves,27410,0.000538%
minecraft:diamond_ore,21570,0.000423%
minecraft:stone_bricks,20564,0.000403%
minecraft:netherrack,17361,0.000341%
minecraft:waxed_oxidized_cut_copper_stairs,15768,0.000309%
minecraft:iron_chain,15214,0.000298%
minecraft:azalea,14640,0.000287%
minecraft:mossy_stone_bricks,13396,0.000263%
minecraft:wildflowers,12880,0.000253%
minecraft:brown_terracotta,12747,0.000250%
minecraft:acacia_log,12099,0.000237%
minecraft:dirt_path,11367,0.000223%
minecraft:big_dripleaf_stem,11134,0.000218%
minecraft:big_dripleaf,9600,0.000188%
minecraft:cracked_stone_bricks,8778,0.000172%
minecraft:waxed_copper_bulb,8666,0.000170%
minecraft:flowering_azalea,8314,0.000163%
minecraft:bush,8139,0.000160%
minecraft:tube_coral_block,7598,0.000149%
minecraft:gray_wool,7385,0.000145%
minecraft:deepslate_bricks,7342,0.000144%
minecraft:horn_coral_block,7333,0.000144%
minecraft:bubble_coral_block,6869,0.000135%
minecraft:podzol,6812,0.000134%
minecraft:brain_coral_block,6329,0.000124%
minecraft:waxed_chiseled_copper,6316,0.000124%
minecraft:chiseled_tuff,6250,0.000123%
minecraft:yellow_terracotta,6027,0.000118%
minecraft:red_mushroom_block,5863,0.000115%
minecraft:smooth_sandstone,5828,0.000114%
minecraft:fire_coral_block,5770,0.000113%
minecraft:dark_oak_planks,5654,0.000111%
minecraft:dandelion,5606,0.000110%
minecraft:oak_stairs,5593,0.000110%
minecraft:raw_iron_block,5402,0.000106%
minecraft:deepslate_tiles,5098,0.000100%
minecraft:waxed_oxidized_copper_grate,4979,0.000098%
minecraft:powder_snow,4908,0.000096%
minecraft:small_dripleaf,4902,0.000096%
minecraft:rooted_dirt,4584,0.000090%
minecraft:dead_bush,4578,0.000090%
minecraft:brown_mushroom,4508,0.000088%
minecraft:waxed_cut_copper_slab,4375,0.000086%
minecraft:horn_coral_wall_fan,4263,0.000084%
minecraft:tube_coral_wall_fan,4246,0.000083%
minecraft:cocoa,4215,0.000083%
minecraft:brain_coral_wall_fan,4202,0.000082%
minecraft:bubble_coral_wall_fan,4197,0.000082%
minecraft:fire_coral_wall_fan,4153,0.000081%
minecraft:waxed_weathered_copper_bulb,3955,0.000078%
minecraft:waxed_exposed_copper_bulb,3882,0.000076%
minecraft:emerald_ore,3793,0.000074%
minecraft:spruce_planks,3771,0.000074%
minecraft:cobbled_deepslate,3481,0.000068%
minecraft:cracked_deepslate_bricks,3456,0.000068%
minecraft:snow,3421,0.000067%
minecraft:ladder,3400,0.000067%
minecraft:raw_copper_block,3325,0.000065%
minecraft:bone_block,3217,0.000063%
minecraft:cut_sandstone,3112,0.000061%
minecraft:medium_amethyst_bud,3072,0.000060%
minecraft:large_amethyst_bud,3048,0.000060%
minecraft:wall_torch,3043,0.000060%
minecraft:amethyst_cluster,2966,0.000058%
minecraft:small_amethyst_bud,2900,0.000057%
minecraft:cherry_leaves,2878,0.000056%
minecraft:spruce_log,2853,0.000056%
minecraft:dark_prismarine,2748,0.000054%
minecraft:short_dry_grass,2546,0.000050%
minecraft:orange_tulip,2527,0.000050%
minecraft:waxed_cut_copper,2510,0.000049%
minecraft:tall_dry_grass,2491,0.000049%
minecraft:jungle_planks,2391,0.000047%
minecraft:chest,2390,0.000047%
minecraft:red_tulip,2359,0.000046%
minecraft:deepslate_tile_stairs,2337,0.000046%
minecraft:sea_pickle,2304,0.000045%
minecraft:cracked_deepslate_tiles,2227,0.000044%
minecraft:sugar_cane,2148,0.000042%
minecraft:decorated_pot,2111,0.000041%
minecraft:peony,2007,0.000039%
minecraft:azure_bluet,1953,0.000038%
minecraft:white_tulip,1952,0.000038%
minecraft:infested_stone_bricks,1942,0.000038%
minecraft:dark_oak_fence,1931,0.000038%
minecraft:spruce_stairs,1880,0.000037%
minecraft:waxed_oxidized_copper_trapdoor,1855,0.000036%
minecraft:light_gray_stained_glass,1759,0.000035%
minecraft:spawner,1688,0.000033%
minecraft:polished_deepslate,1561,0.000031%
minecraft:lilac,1504,0.000029%
minecraft:melon,1485,0.000029%
minecraft:rose_bush,1474,0.000029%
minecraft:brown_mushroom_block,1437,0.000028%
minecraft:jungle_stairs,1376,0.000027%
minecraft:spore_blossom,1343,0.000026%
minecraft:pink_tulip,1304,0.000026%
minecraft:waxed_oxidized_copper_bulb,1241,0.000024%
minecraft:oxeye_daisy,1216,0.000024%
minecraft:sculk_sensor,1216,0.000024%
minecraft:chiseled_deepslate,1211,0.000024%
minecraft:pink_petals,1182,0.000023%
minecraft:poppy,1160,0.000023%
minecraft:sea_lantern,1156,0.000023%
minecraft:vault,1129,0.000022%
minecraft:lily_of_the_valley,1120,0.000022%
minecraft:farmland,1076,0.000021%
minecraft:birch_planks,1064,0.000021%
minecraft:dark_oak_stairs,1063,0.000021%
minecraft:oak_button,1037,0.000020%
minecraft:dispenser,1022,0.000020%
minecraft:acacia_stairs,949,0.000019%
minecraft:mushroom_stem,912,0.000018%
