# McoresScanner - NETHER
# Chunks scanned: 61312
# Total blocks: 4002447360
# Format: block_id,count,percentage

minecraft:air,2600976546,64.984653%
minecraft:netherrack,955305901,23.868044%
minecraft:lava,97064642,2.425132%
minecraft:bedrock,94167586,2.352750%
minecraft:basalt,83680513,2.090734%
minecraft:cave_air,65360890,1.633023%
minecraft:blackstone,24046942,0.600806%
minecraft:soul_sand,16653877,0.416092%
minecraft:soul_soil,15084809,0.376890%
minecraft:magma_block,10299766,0.257337%
minecraft:gravel,8590167,0.214623%
minecraft:nether_quartz_ore,6987573,0.174583%
minecraft:nether_wart_block,5337738,0.133362%
minecraft:crimson_nylium,3739201,0.093423%
minecraft:nether_bricks,2841247,0.070988%
minecraft:warped_wart_block,2663196,0.066539%
minecraft:nether_gold_ore,2417792,0.060408%
minecraft:warped_nylium,1865956,0.046620%
minecraft:crimson_stem,1038186,0.025939%
minecraft:polished_blackstone_bricks,844649,0.021103%
minecraft:crimson_roots,536849,0.013413%
minecraft:warped_stem,516638,0.012908%
minecraft:cracked_polished_blackstone_bricks,443132,0.011072%
minecraft:weeping_vines_plant,431831,0.010789%
minecraft:shroomlight,261101,0.006524%
minecraft:warped_roots,214399,0.005357%
minecraft:glowstone,214120,0.005350%
minecraft:weeping_vines,187151,0.004676%
minecraft:nether_sprouts,159953,0.003996%
minecraft:ancient_debris,92084,0.002301%
minecraft:crimson_fungus,70065,0.001751%
minecraft:twisting_vines_plant,68757,0.001718%
minecraft:fire,66854,0.001670%
minecraft:nether_brick_fence,53024,0.001325%
minecraft:warped_fungus,38851,0.000971%
minecraft:twisting_vines,22826,0.000570%
minecraft:brown_mushroom,20621,0.000515%
minecraft:red_mushroom,18630,0.000465%
minecraft:bone_block,18279,0.000457%
minecraft:soul_fire,9911,0.000248%
minecraft:polished_blackstone_brick_stairs,9332,0.000233%
minecraft:gilded_blackstone,7561,0.000189%
minecraft:nether_brick_stairs,3995,0.000100%
minecraft:blackstone_slab,2375,0.000059%
minecraft:polished_basalt,1950,0.000049%
minecraft:lantern,1561,0.000039%
minecraft:nether_wart,1315,0.000033%
minecraft:chiseled_polished_blackstone,1182,0.000030%
minecraft:gold_block,1105,0.000028%
minecraft:blackstone_stairs,882,0.000022%
minecraft:blackstone_wall,833,0.000021%
minecraft:iron_chain,806,0.000020%
minecraft:chest,640,0.000016%
minecraft:dried_ghast,489,0.000012%
minecraft:obsidian,434,0.000011%
minecraft:polished_blackstone_brick_slab,268,0.000007%
minecraft:polished_blackstone_slab,102,0.000003%
minecraft:spawner,82,0.000002%
minecraft:crying_obsidian,73,0.000002%
minecraft:quartz_block,44,0.000001%
minecraft:polished_blackstone,26,0.000001%
minecraft:smooth_quartz_slab,22,0.000001%
minecraft:smooth_quartz,22,0.000001%
minecraft:polished_blackstone_brick_wall,8,0.000000%
