# McoresScanner - OVERWORLD
# Chunks scanned: 63500
# Total blocks: 214529024
# Format: block_id,count,percentage

minecraft:flowering_azalea_leaves,22,0.000010%
minecraft:polished_granite,21,0.000010%
minecraft:bone_block,20,0.000009%
minecraft:birch_fence,16,0.000007%
minecraft:dark_oak_trapdoor,14,0.000007%
minecraft:oak_trapdoor,14,0.000007%
minecraft:bush,13,0.000006%
minecraft:black_stained_glass,12,0.000006%
minecraft:waxed_cut_copper_stairs,12,0.000006%
minecraft:jungle_trapdoor,11,0.000005%
minecraft:potted_dead_bush,10,0.000005%
minecraft:gold_block,10,0.000005%
minecraft:dark_oak_log,10,0.000005%
minecraft:flower_pot,10,0.000005%
minecraft:mossy_stone_brick_slab,9,0.000004%
minecraft:bricks,9,0.000004%
minecraft:obsidian,9,0.000004%
minecraft:hanging_roots,8,0.000004%
minecraft:jungle_log,8,0.000004%
minecraft:mossy_stone_brick_stairs,7,0.000003%
minecraft:stone_brick_stairs,7,0.000003%
minecraft:dark_oak_fence,6,0.000003%
minecraft:purple_bed,6,0.000003%
minecraft:pointed_dripstone,6,0.000003%
minecraft:lime_bed,4,0.000002%
minecraft:red_bed,4,0.000002%
minecraft:waxed_copper_door,4,0.000002%
minecraft:mangrove_log,3,0.000001%
minecraft:mangrove_roots,3,0.000001%
minecraft:stone_slab,3,0.000001%
minecraft:crying_obsidian,3,0.000001%
minecraft:poppy,2,0.000001%
minecraft:oak_slab,2,0.000001%
minecraft:waxed_oxidized_chiseled_copper,2,0.000001%
minecraft:cyan_bed,2,0.000001%
minecraft:magenta_bed,2,0.000001%
minecraft:stone_button,2,0.000001%
minecraft:mud,2,0.000001%
minecraft:jungle_door,2,0.000001%
minecraft:mangrove_wood,2,0.000001%
minecraft:light_gray_bed,2,0.000001%
minecraft:dandelion,2,0.000001%
minecraft:muddy_mangrove_roots,1,0.000000%
minecraft:crafting_table,1,0.000000%
minecraft:pumpkin,1,0.000000%
minecraft:oxidized_copper_trapdoor,1,0.000000%
minecraft:oak_pressure_plate,1,0.000000%
minecraft:waxed_oxidized_cut_copper_slab,1,0.000000%
